nome,cpf,telefone,data_nascimento,estado,salario,quantidade_vendida,data_venda,email
  joão silva,373.118.410-91,(11) 91234-5678,24/01/1981,ES,"R$ 3.746,98",4,2026-12-23,cliente721@email.com
  joão silva,827.840.435-67,11912345678,21-01-1981,RJ,"R$ 3.149,46",8,2025-12-27,cliente360@email.com
Pedro  Santos,269.620.562-49,11 91234-5678,31/02/2000,Rio de Janeiro,"R$ 1.755,46",5,2025-01-31,cliente30@email.com
  joão silva  ,892.352.921-42,11912345678,28-01-1980,ES,"R$ 3.248,33",2,2025-09-18,cliente260@email.com
  joão silva,730.389.949-84,(11) 91234-5678,1980-06-05,ES,"R$ 4.098,98",11,2026-09-30,cliente637@email.com
Pedro  Santos ,204.989.292-26,(11) 91234-5678,1980-09-26,RJ,"R$ 4.186,15",1000,2027-01-17,cliente746@email.com
Carlos José,168.264.588-58,91234-5678,28-02-1980,Espírito Santo,"R$ 2.235,81",6,2026-07-25,cliente570@email.com
Pedro  Santos  ,259.622.749-82,(11) 91234-5678,02/10/1980,Espírito Santo,"R$ 3.019,46",6,2025-08-04,cliente215@email.com
ANA paula ,690.126.785-59,(11) 91234-5678,1980-06-12,ES,"R$ 4.663,73",5,2025-03-20,cliente78@email.com
Pedro  Santos ,703.379.736-22,11912345678,09/10/1980,RJ,"R$ 3.033,90",13,2026-08-02,cliente578@email.com
MARIA SOUZA,455.681.701-13,11912345678,1980-07-06,MG,"R$ 1.926,67",2,2026-01-19,cliente383@email.com
ANA paula  ,315.246.435-49,11 91234-5678,1980-03-04,MG,"R$ 4.373,91",8,2025-02-09,cliente39@email.com
MARIA SOUZA ,989.852.672-44,11912345678,04-05-1980,RJ,"R$ 1.315,33",5,2025-01-24,cliente23@email.com
   fernanda lima,178.223.570-53,11 91234-5678,1980-10-17,ES,"R$ 2.839,58",6,2026-11-24,cliente692@email.com
  joão silva  ,771.859.302-29,(11) 91234-5678,1980-11-18,RJ,"R$ 2.898,01",1000,2026-02-03,cliente398@email.com
Carlos José,587.177.925-42,(11) 91234-5678,03-06-1980,Espírito Santo,"R$ 2.660,24",11,2027-03-08,cliente796@email.com
ANA paula,116.373.784-93,11912345678,1980-01-03,Minas Gerais,"R$ 3.391,13",3,2027-01-12,cliente741@email.com
  joão silva,961.460.356-14,11912345678,29-08-1980,ES,"R$ 3.887,08",2,2025-05-20,cliente139@email.com
ANA paula  ,505.242.441-69,11 91234-5678,25/09/1980,sp,"R$ 1.608,04",4,2025-09-08,cliente250@email.com
Pedro  Santos,496.378.950-84,(11) 91234-5678,1980-07-24,ES,"R$ 895,25",9,2025-06-24,cliente174@email.com
ANA paula  ,945.223.725-31,91234-5678,1980-02-02,Espírito Santo,"R$ 3.973,62",11,2025-11-20,cliente323@email.com
  joão silva,786.850.871-16,11912345678,1980-12-03,RJ,"R$ 4.183,99",6,2026-08-19,cliente595@email.com
MARIA SOUZA  ,619.252.958-55,(11) 91234-5678,1980-10-13,SP,"R$ 2.696,37",5,2026-06-10,cliente525@email.com
   fernanda lima,480.779.157-37,nan,15-10-1980,sp,"R$ 2.181,39",4,2026-02-28,cliente423@email.com
   fernanda lima  ,464.262.147-82,11912345678,1980-07-24,RJ,"R$ 3.341,83",4,2026-08-20,cliente596@email.com
  joão silva  ,909.419.225-30,91234-5678,1980-12-26,S.Paulo,"R$ 1.650,23",5,2026-08-28,cliente604@email.com
ANA paula  ,365.309.662-82,91234-5678,1980-03-15,ES,"R$ 5.572,00",6,2026-06-19,cliente534@email.com
  joão silva,636.178.679-54,11912345678,29-11-1980,SP,"R$ 3.046,08",3,2025-09-23,cliente265@email.com
Pedro  Santos ,111.186.623-22,11 91234-5678,1980-12-17,SP,"R$ 4.253,13",5,2025-04-20,cliente109@email.com
   fernanda lima,248.639.587-63,(11) 91234-5678,1980-10-31,São Paulo,"R$ 2.772,89",3,2026-10-29,cliente666@email.com
  joão silva  ,843.326.844-61,11 91234-5678,31-08-1980,ES,"R$ 3.479,51",7,2025-10-22,cliente293@email.com
Pedro  Santos ,143.560.377-52,(11) 91234-5678,04/07/1980,Espírito Santo,"R$ 2.875,11",9,2025-12-03,cliente336@email.com
  joão silva,784.839.449-64,(11) 91234-5678,22-01-1981,SP,"R$ 3.107,17",4,2026-01-04,cliente368@email.com
MARIA SOUZA,892.765.481-14,11912345678,08-11-1980,ES,"R$ 2.394,84",6,2026-03-23,cliente446@email.com
Pedro  Santos,633.959.896-22,11912345678,30-09-1980,ES,"R$ 4.801,43",6,2025-11-30,cliente332@email.com
Pedro  Santos ,449.558.362-83,91234-5678,08-05-1980,MG,"R$ 3.499,10",3,2025-07-18,cliente198@email.com
ANA paula,460.701.319-75,11 91234-5678,1980-06-12,MG,"R$ 4.598,32",2,2025-06-18,cliente168@email.com
Pedro  Santos ,775.564.385-18,(11) 91234-5678,11-02-1980,Rio de Janeiro,"R$ 3.210,30",1000,2026-04-27,cliente481@email.com
   fernanda lima  ,670.224.453-26,(11) 91234-5678,1980-01-23,Espírito Santo,"R$ 3.690,07",6,2026-12-25,cliente723@email.com
   fernanda lima ,392.909.200-57,11 91234-5678,19-06-1980,Minas Gerais,"R$ 2.348,32",2,2026-10-18,cliente655@email.com
   fernanda lima ,720.534.507-33,(11) 91234-5678,1980-05-11,São Paulo,"R$ 3.746,61",1,2025-11-03,cliente306@email.com
ANA paula  ,271.869.713-90,(11) 91234-5678,1980-09-23,Espírito Santo,"R$ 1.444,63",4,2025-08-20,cliente231@email.com
MARIA SOUZA ,825.727.703-23,11912345678,07-08-1980,Minas Gerais,"R$ 4.191,09",5,2026-02-27,cliente422@email.com
ANA paula ,323.624.145-36,11 91234-5678,16/03/1980,MG,"R$ 1.780,72",4,2025-02-19,cliente49@email.com
MARIA SOUZA  ,692.517.862-50,(11) 91234-5678,30/07/1980,S.Paulo,"R$ 3.366,81",8,2027-02-27,cliente787@email.com
   fernanda lima,301.137.871-69,11912345678,1980-10-21,MG,"R$ 3.925,67",7,2025-12-24,cliente357@email.com
  joão silva  ,816.820.171-30,11 91234-5678,24-11-1980,RJ,"R$ 1.709,44",5,2025-03-28,cliente86@email.com
MARIA SOUZA  ,733.129.287-41,11 91234-5678,31/10/1980,sp,"R$ 1.487,47",4,2026-06-30,cliente545@email.com
   fernanda lima  ,569.886.901-87,11912345678,07-09-1980,São Paulo,"R$ 3.715,73",3,2025-07-12,cliente192@email.com
Carlos José ,468.950.142-44,91234-5678,23-07-1980,São Paulo,"R$ 1.992,09",2,2027-03-07,cliente795@email.com
ANA paula ,350.275.701-27,(11) 91234-5678,1980-12-20,São Paulo,"R$ 1.985,52",6,2025-02-03,cliente33@email.com
MARIA SOUZA ,636.360.494-68,(11) 91234-5678,09-01-1981,Rio de Janeiro,"R$ 3.232,87",6,2025-02-01,cliente31@email.com
   fernanda lima ,138.258.682-72,(11) 91234-5678,05-04-1980,Minas Gerais,"R$ 1.307,73",12,2025-07-19,cliente199@email.com
Carlos José ,505.763.208-85,91234-5678,14-12-1980,RJ,"R$ 2.494,03",6,2026-01-01,cliente365@email.com
   fernanda lima,972.736.721-95,11 91234-5678,1980-05-01,Minas Gerais,"R$ 3.475,59",4,2026-05-02,cliente486@email.com
ANA paula ,790.830.181-60,(11) 91234-5678,14-01-1981,ES,"R$ 2.942,96",6,2026-08-18,cliente594@email.com
  joão silva ,158.530.737-26,11912345678,23-11-1980,S.Paulo,"R$ 2.473,47",11,2026-07-23,cliente568@email.com
   fernanda lima ,478.277.526-28,(11) 91234-5678,1980-04-08,São Paulo,"R$ 4.290,76",3,2026-03-05,cliente428@email.com
   fernanda lima,494.109.806-23,11 91234-5678,02/09/1980,Espírito Santo,"R$ 779,58",4,2025-05-18,cliente137@email.com
MARIA SOUZA ,552.486.606-10,91234-5678,01/10/1980,São Paulo,4729.78,5,2025-03-14,cliente72@email.com
MARIA SOUZA ,756.704.408-17,11 91234-5678,21-11-1980,SP,"R$ 4.292,75",8,2025-03-19,cliente77@email.com
MARIA SOUZA  ,148.401.980-71,(11) 91234-5678,08/04/1980,São Paulo,"R$ 2.460,41",1000,2026-05-28,cliente512@email.com
Pedro  Santos,180.588.994-97,(11) 91234-5678,01/07/1980,Espírito Santo,"R$ 2.902,47",3,2027-02-23,cliente783@email.com
  joão silva,990.297.100-32,(11) 91234-5678,1980-09-30,RJ,1683.07,3,2027-02-26,cliente785@email.com
ANA paula,255.289.593-16,11 91234-5678,15-11-1980,sp,"R$ 2.410,55",5,2025-10-03,cliente275@email.com
Carlos José  ,154.599.987-33,(11) 91234-5678,22/09/1980,Minas Gerais,"R$ 3.770,75",1000,2025-12-28,cliente361@email.com
ANA paula  ,688.215.765-31,(11) 91234-5678,19/11/1980,SP,"R$ 3.982,68",4,2025-04-07,cliente96@email.com
  joão silva,308.442.187-59,11912345678,17/01/1981,São Paulo,"R$ 3.036,78",11,2026-10-04,cliente641@email.com
ANA paula,820.851.430-86,(11) 91234-5678,1980-05-19,Rio de Janeiro,"R$ 4.048,86",5,2026-12-17,cliente715@email.com
Carlos José  ,673.867.582-16,11912345678,25/01/1981,ES,"R$ 2.930,37",6,2025-10-09,cliente281@email.com
Carlos José  ,304.681.655-82,nan,25-02-1980,Espírito Santo,"R$ 5.068,23",3,2026-01-29,cliente393@email.com
   fernanda lima ,152.886.412-34,11912345678,20/11/1980,ES,"R$ 4.515,44",5,2026-09-21,cliente628@email.com
ANA paula,469.363.893-80,11912345678,25/09/1980,Minas Gerais,"R$ 2.558,15",5,2026-09-01,cliente608@email.com
Carlos José,588.785.341-35,(11) 91234-5678,29/09/1980,MG,"R$ 3.468,98",6,2026-12-07,cliente705@email.com
ANA paula  ,498.853.727-17,11912345678,18-06-1980,SP,"R$ 3.409,44",3,2027-01-25,cliente754@email.com
MARIA SOUZA ,511.671.434-46,11912345678,12-03-1980,ES,"R$ 1.311,49",3,2025-02-24,cliente54@email.com
  joão silva  ,381.982.502-69,(11) 91234-5678,15/08/1980,Rio de Janeiro,"R$ 2.246,14",500,2027-01-21,cliente750@email.com
Carlos José  ,594.526.277-32,11 91234-5678,15/01/1980,RJ,4649.02,-5,2025-06-05,cliente155@email.com
  joão silva ,666.658.337-91,11 91234-5678,1980-12-08,sp,"R$ 2.590,20",9,2026-03-09,cliente432@email.com
Carlos José  ,202.293.265-55,11 91234-5678,1980-10-26,Rio de Janeiro,"R$ 1.599,93",3,2025-04-08,cliente97@email.com
MARIA SOUZA ,615.831.463-29,11912345678,1981-01-20,Espírito Santo,"R$ 2.876,66",9,2025-05-01,cliente120@email.com
MARIA SOUZA,638.683.159-55,11912345678,11/10/1980,MG,"R$ 4.351,11",5,2025-03-18,cliente76@email.com
  joão silva ,986.217.376-95,11 91234-5678,11-07-1980,SP,"R$ 925,51",1,2025-07-24,cliente204@email.com
ANA paula ,854.834.169-65,11912345678,1980-09-21,Espírito Santo,"R$ 1.153,43",5,2025-12-19,cliente352@email.com
  joão silva,665.425.456-66,11912345678,27/09/1980,Minas Gerais,"R$ 1.729,05",2,2027-02-04,cliente764@email.com
   fernanda lima,253.958.392-77,(11) 91234-5678,31/02/2000,S.Paulo,"R$ 3.729,06",5,2025-07-28,cliente208@email.com
ANA paula ,967.803.118-57,11912345678,01-05-1980,Espírito Santo,"R$ 3.062,33",3,2026-01-03,cliente367@email.com
ANA paula  ,859.353.998-81,(11) 91234-5678,28/06/1980,RJ,"R$ 2.452,09",4,2026-03-02,cliente425@email.com
  joão silva ,717.462.921-18,(11) 91234-5678,24/09/1980,S.Paulo,"R$ 2.095,05",4,2026-05-31,cliente515@email.com
   fernanda lima  ,930.825.600-11,(11) 91234-5678,1980-08-08,São Paulo,"R$ 2.551,46",5,2025-03-26,cliente84@email.com
ANA paula,392.764.531-74,11912345678,1981-01-23,Minas Gerais,"R$ 3.531,03",2,2025-01-11,cliente10@email.com
   fernanda lima  ,431.238.456-98,11912345678,1980-07-29,sp,"R$ 2.375,49",6,2026-12-22,cliente720@email.com
Pedro  Santos,636.400.342-28,(11) 91234-5678,01-09-1980,RJ,2893.74,2,2025-04-21,cliente110@email.com
ANA paula  ,100.267.719-28,11912345678,06-12-1980,Espírito Santo,"R$ 2.072,45",7,2026-06-06,cliente521@email.com
Pedro  Santos ,261.866.353-18,nan,19/11/1980,Espírito Santo,"R$ 2.846,09",7,2027-02-17,cliente777@email.com
MARIA SOUZA ,149.763.630-69,91234-5678,08/01/1980,MG,3167.04,5,2025-07-29,cliente209@email.com
   fernanda lima ,576.386.402-64,11912345678,1980-10-01,ES,"R$ 4.037,16",6,2025-08-24,cliente235@email.com
  joão silva,316.477.218-71,(11) 91234-5678,30/03/1980,RJ,"R$ 2.815,85",6,2025-11-13,cliente316@email.com
  joão silva  ,695.763.647-94,11912345678,08/07/1980,ES,"R$ 4.807,61",5,2026-01-24,cliente388@email.com
  joão silva,431.916.961-94,11912345678,16/02/1980,Rio de Janeiro,"R$ 2.681,25",3,2025-04-29,cliente118@email.com
  joão silva ,795.931.798-71,(11) 91234-5678,1980-02-27,São Paulo,"R$ 2.973,74",2,2026-12-21,cliente719@email.com
Pedro  Santos,266.301.956-27,(11) 91234-5678,21-04-1980,Minas Gerais,3446.62,5,2025-07-30,cliente210@email.com
MARIA SOUZA,315.769.561-15,11912345678,16-09-1980,sp,"R$ 3.889,15",10,2025-09-12,cliente254@email.com
  joão silva ,963.681.794-84,(11) 91234-5678,02/01/1981,Rio de Janeiro,"R$ 2.654,85",5,2026-08-15,cliente591@email.com
Pedro  Santos ,748.294.837-85,(11) 91234-5678,1980-07-24,SP,"R$ 4.360,12",500,2025-01-30,cliente29@email.com
  joão silva ,111.899.227-22,(11) 91234-5678,12/10/1980,RJ,"R$ 1.926,31",6,2025-09-24,cliente266@email.com
Pedro  Santos,970.639.652-56,11 91234-5678,1980-07-07,São Paulo,"R$ 805,62",7,2026-10-19,cliente656@email.com
  joão silva ,921.199.720-96,(11) 91234-5678,1980-03-11,ES,"R$ 2.516,38",2,2026-10-25,cliente662@email.com
   fernanda lima ,116.219.492-50,11 91234-5678,1980-02-01,RJ,"R$ 2.307,65",7,2025-10-24,cliente296@email.com
   fernanda lima,657.626.252-87,11912345678,14-02-1980,S.Paulo,1526.26,7,2025-03-23,cliente81@email.com
  joão silva  ,324.828.603-81,11 91234-5678,1980-07-25,MG,"R$ 4.292,06",3,2026-11-20,cliente688@email.com
Pedro  Santos  ,954.955.272-92,11912345678,16/09/1980,MG,"R$ 3.907,96",6,2025-10-30,cliente302@email.com
   fernanda lima,764.821.672-21,11912345678,1980-04-18,ES,"R$ 1.001,11",2,2026-05-22,cliente506@email.com
Pedro  Santos ,806.466.379-36,11912345678,10/10/1980,Espírito Santo,"R$ 2.811,80",5,2027-01-29,cliente758@email.com
  joão silva ,428.562.660-45,(11) 91234-5678,1981-01-17,MG,"R$ 3.137,35",6,2025-11-11,cliente314@email.com
   fernanda lima,750.732.676-28,11 91234-5678,19-06-1980,ES,"R$ 3.134,17",7,2026-10-07,cliente644@email.com
ANA paula  ,142.780.522-95,(11) 91234-5678,23-04-1980,Rio de Janeiro,"R$ 2.461,43",3,2026-02-14,cliente409@email.com
  joão silva ,775.538.341-78,11 91234-5678,09-06-1980,Rio de Janeiro,"R$ 2.728,69",9,2025-07-31,cliente211@email.com
Pedro  Santos ,869.896.204-83,(11) 91234-5678,1980-07-13,RJ,"R$ 3.431,63",5,2026-06-17,cliente532@email.com
   fernanda lima,188.753.302-62,11912345678,03/02/1980,Minas Gerais,"R$ 2.990,82",5,2026-04-29,cliente483@email.com
MARIA SOUZA ,362.696.757-76,11912345678,21-06-1980,sp,"R$ 2.694,81",4,2025-08-07,cliente218@email.com
Pedro  Santos,458.439.488-74,11912345678,18-05-1980,sp,"R$ 3.479,36",5,2025-01-08,cliente7@email.com
MARIA SOUZA,541.914.905-24,nan,26/11/1980,SP,"R$ 2.870,97",6,2026-04-10,cliente464@email.com
  joão silva ,458.322.515-50,11 91234-5678,08-03-1980,RJ,"R$ 2.271,83",7,2025-04-12,cliente101@email.com
   fernanda lima,221.643.321-48,(11) 91234-5678,1981-01-27,SP,"R$ 2.233,88",7,2025-11-23,cliente326@email.com
Carlos José,635.975.622-26,11 91234-5678,1980-01-13,Rio de Janeiro,"R$ 3.430,86",5,2026-10-15,cliente652@email.com
  joão silva  ,704.777.486-25,11 91234-5678,16-01-1981,SP,3858.81,8,2026-06-22,cliente537@email.com
ANA paula  ,885.195.825-47,11 91234-5678,22/11/1980,RJ,"R$ 3.082,77",1,2026-10-03,cliente640@email.com
Pedro  Santos,513.350.858-22,11912345678,05/04/1980,MG,"R$ 4.166,37",7,2025-01-03,cliente2@email.com
MARIA SOUZA,700.704.426-76,91234-5678,03/02/1980,SP,"R$ 4.900,27",2,2027-01-09,cliente738@email.com
  joão silva  ,898.301.131-68,(11) 91234-5678,13/11/1980,RJ,"R$ 3.390,37",7,2027-02-16,cliente776@email.com
MARIA SOUZA ,496.803.878-28,11912345678,07-11-1980,Rio de Janeiro,"R$ 3.114,10",4,2026-06-04,cliente519@email.com
  joão silva,681.628.982-28,(11) 91234-5678,06-01-1981,São Paulo,4735.95,2,2026-08-13,cliente589@email.com
Pedro  Santos ,827.414.950-15,11 91234-5678,1980-12-11,sp,"R$ 3.786,41",5,2027-03-10,cliente798@email.com
  joão silva  ,976.503.727-96,91234-5678,25/01/1981,São Paulo,"R$ 2.355,66",3,2027-01-15,cliente744@email.com
Pedro  Santos  ,235.654.503-48,11 91234-5678,24/10/1980,ES,"R$ 3.894,91",5,2026-05-29,cliente513@email.com
ANA paula ,749.664.143-56,(11) 91234-5678,1980-11-27,sp,"R$ 3.637,61",6,2026-11-02,cliente670@email.com
ANA paula  ,216.581.491-30,11 91234-5678,1980-12-18,S.Paulo,"R$ 1.970,03",4,2025-09-22,cliente264@email.com
Pedro  Santos,483.359.513-84,11 91234-5678,26-01-1981,Espírito Santo,"R$ 2.722,49",5,2026-09-08,cliente615@email.com
   fernanda lima  ,737.401.459-16,11 91234-5678,1980-08-22,São Paulo,1184.28,6,2025-11-26,cliente329@email.com
  joão silva ,228.975.360-12,11 91234-5678,1980-01-22,MG,"R$ 4.040,43",5,2025-12-09,cliente342@email.com
MARIA SOUZA ,912.327.795-93,11912345678,08-06-1980,Espírito Santo,"R$ 1.602,19",8,2026-01-30,cliente394@email.com
MARIA SOUZA,298.486.448-73,91234-5678,1980-08-11,Rio de Janeiro,"R$ 3.305,24",4,2025-03-21,cliente79@email.com
ANA paula ,381.896.100-44,11912345678,13-08-1980,Rio de Janeiro,2068.84,5,2025-05-29,cliente148@email.com
  joão silva,113.732.517-62,(11) 91234-5678,11-08-1980,Espírito Santo,"R$ 3.556,02",8,2025-12-17,cliente350@email.com
   fernanda lima  ,148.173.803-14,(11) 91234-5678,01/11/1980,S.Paulo,"R$ 5.935,66",3,2026-01-18,cliente382@email.com
Carlos José  ,748.623.913-25,(11) 91234-5678,04-03-1980,Minas Gerais,"R$ 4.026,89",7,2026-03-17,cliente440@email.com
   fernanda lima,535.498.310-16,11 91234-5678,1980-04-17,S.Paulo,"R$ 2.147,78",6,2025-11-06,cliente309@email.com
   fernanda lima,919.460.558-63,11912345678,25/01/1981,MG,2769.57,7,2026-12-09,cliente707@email.com
Pedro  Santos,244.990.956-37,11 91234-5678,22/10/1980,RJ,"R$ 1.626,17",4,2025-05-14,cliente133@email.com
MARIA SOUZA,680.448.931-46,11 91234-5678,18/07/1980,MG,3007.74,5,2026-01-17,cliente381@email.com
  joão silva  ,730.760.761-57,(11) 91234-5678,15-07-1980,SP,"R$ 1.878,47",3,2025-08-02,cliente213@email.com
   fernanda lima,112.309.840-22,(11) 91234-5678,1980-10-12,sp,"R$ 3.533,21",3,2026-10-22,cliente659@email.com
Carlos José ,377.295.963-77,11912345678,09-07-1980,Rio de Janeiro,"R$ 1.879,95",9,2025-02-25,cliente55@email.com
ANA paula,537.859.346-36,11912345678,19-03-1980,São Paulo,"R$ 1.651,82",4,2027-01-07,cliente736@email.com
Carlos José ,845.479.755-69,91234-5678,1980-09-01,Rio de Janeiro,"R$ 4.090,18",7,2026-09-13,cliente620@email.com
   fernanda lima  ,619.383.616-26,11 91234-5678,1980-11-26,sp,"R$ 2.822,40",2,2026-08-06,cliente582@email.com
MARIA SOUZA  ,948.967.497-19,11 91234-5678,23/11/1980,Rio de Janeiro,"R$ 1.481,03",6,2026-11-05,cliente673@email.com
ANA paula  ,788.786.951-91,(11) 91234-5678,27/07/1980,S.Paulo,"R$ 4.588,94",5,2026-06-12,cliente527@email.com
MARIA SOUZA,769.757.101-58,nan,20-11-1980,RJ,"R$ 4.623,88",4,2025-07-16,cliente196@email.com
Pedro  Santos  ,322.833.102-15,11 91234-5678,1980-01-02,SP,"R$ 1.549,07",4,2026-12-15,cliente713@email.com
Pedro  Santos  ,144.313.158-13,11 91234-5678,04-10-1980,RJ,"R$ 2.250,83",2,2026-11-21,cliente689@email.com
ANA paula ,815.775.862-61,11912345678,09/09/1980,S.Paulo,"R$ 1.972,60",6,2025-03-02,cliente60@email.com
Pedro  Santos,458.935.598-10,(11) 91234-5678,02/09/1980,ES,"R$ 2.429,69",6,2026-07-31,cliente576@email.com
Pedro  Santos ,109.583.555-63,(11) 91234-5678,19/07/1980,SP,"R$ 2.499,80",5,2026-09-24,cliente631@email.com
Carlos José ,263.584.696-81,(11) 91234-5678,1980-11-28,S.Paulo,"R$ 3.698,92",6,2026-03-08,cliente431@email.com
Carlos José ,782.934.665-19,(11) 91234-5678,16/02/1980,RJ,1524.32,4,2026-08-27,cliente603@email.com
   fernanda lima,769.368.261-13,(11) 91234-5678,1980-12-17,S.Paulo,"R$ 4.618,79",2,2026-03-19,cliente442@email.com
ANA paula,725.974.139-42,nan,01/08/1980,RJ,"R$ 2.224,13",2,2026-03-13,cliente436@email.com
Carlos José ,548.942.934-61,11 91234-5678,20/02/1980,São Paulo,"R$ 2.286,42",4,2025-09-05,cliente247@email.com
Carlos José  ,345.760.857-20,11 91234-5678,05-07-1980,sp,"R$ 2.228,80",8,2026-08-10,cliente586@email.com
Carlos José  ,208.835.377-77,11 91234-5678,1980-10-02,Rio de Janeiro,"R$ 2.476,42",7,2026-07-24,cliente569@email.com
MARIA SOUZA  ,878.313.790-97,11912345678,27/05/1980,Rio de Janeiro,"R$ 4.534,48",5,2025-04-01,cliente90@email.com
MARIA SOUZA ,731.274.122-94,(11) 91234-5678,1980-03-27,Minas Gerais,"R$ 2.621,24",4,2026-10-13,cliente650@email.com
  joão silva,721.941.876-12,(11) 91234-5678,1980-02-13,sp,"R$ 1.400,61",4,2025-07-01,cliente181@email.com
  joão silva  ,436.674.660-85,(11) 91234-5678,14/01/1980,sp,"R$ 3.151,40",2,2027-03-02,cliente790@email.com
MARIA SOUZA  ,518.526.578-20,(11) 91234-5678,05/02/1980,S.Paulo,"R$ 3.239,63",4,2026-07-09,cliente554@email.com
   fernanda lima ,494.802.407-64,11 91234-5678,26/06/1980,Espírito Santo,"R$ 3.392,63",5,2025-10-18,cliente290@email.com
   fernanda lima ,435.845.991-17,nan,1981-01-28,ES,"R$ 2.576,24",4,2025-06-08,cliente158@email.com
   fernanda lima,638.806.948-65,(11) 91234-5678,19/10/1980,Rio de Janeiro,"R$ 4.325,28",4,2025-03-11,cliente69@email.com
Carlos José,628.955.888-60,(11) 91234-5678,03-11-1980,São Paulo,"R$ 2.725,15",3,2026-06-02,cliente517@email.com
Carlos José  ,480.722.113-98,(11) 91234-5678,05/04/1980,S.Paulo,"R$ 914,10",4,2025-05-12,cliente131@email.com
Carlos José ,232.846.656-67,(11) 91234-5678,1980-08-30,MG,"R$ 2.228,23",6,2025-02-14,cliente44@email.com
   fernanda lima,703.120.402-89,11912345678,13-07-1980,São Paulo,"R$ 3.827,12",5,2025-03-12,cliente70@email.com
ANA paula  ,709.325.511-86,11912345678,1980-02-26,SP,"R$ 3.210,50",4,2026-11-23,cliente691@email.com
   fernanda lima,635.326.253-46,nan,11/02/1980,Rio de Janeiro,4580.34,8,2025-12-22,cliente355@email.com
ANA paula,346.739.894-78,11 91234-5678,25-05-1980,Espírito Santo,"R$ 1.783,10",6,2026-03-21,cliente444@email.com
MARIA SOUZA  ,532.570.280-32,11912345678,09-05-1980,Rio de Janeiro,"R$ 3.970,32",4,2027-02-01,cliente761@email.com
Carlos José ,548.523.559-65,nan,1981-01-08,sp,"R$ 3.115,82",5,2025-05-16,cliente135@email.com
ANA paula ,554.372.993-93,(11) 91234-5678,03/02/1980,S.Paulo,"R$ 3.447,39",4,2025-03-24,cliente82@email.com
Carlos José  ,939.444.913-77,(11) 91234-5678,06/05/1980,MG,"R$ 3.487,77",4,2025-06-15,cliente165@email.com
