nome,telefone,data_nascimento,estado,salario,quantidade_vendida,data_venda,email,cpf_camuflado
Ana Paula,(27) 11912345678,30/01/1981,ES,2982.99,2,02/09/2025,cliente244@email.com,xxx.xxx.xxx-23
Fernanda Lima,(11) 11912345678,13/08/1980,SP,1801.05,6,13/01/2026,cliente377@email.com,xxx.xxx.xxx-86
Ana Paula,(11) 11912345678,19/03/1980,SP,4704.59,5,03/09/2026,cliente610@email.com,xxx.xxx.xxx-10
Pedro  Santos,(11) 91234-5678,02/10/1980,SP,2511.11,8,11/06/2026,cliente526@email.com,xxx.xxx.xxx-96
João Silva,(11) 11912345678,30/06/1980,SP,3703.14,3,21/10/2026,cliente658@email.com,xxx.xxx.xxx-80
João Silva,(31) 11912345678,13/01/1980,MG,1874.41,3,14/06/2026,cliente529@email.com,xxx.xxx.xxx-37
Carlos José,(11) 91234-5678,28/09/1980,SP,1032.67,5,15/09/2026,cliente622@email.com,xxx.xxx.xxx-43
João Silva,(11) 91234-5678,24/01/1981,ES,3746.98,4,23/12/2026,cliente721@email.com,xxx.xxx.xxx-91
João Silva,(21) 11912345678,21/01/1981,RJ,3149.46,8,27/12/2025,cliente360@email.com,xxx.xxx.xxx-67
Pedro  Santos,(11) 91234-5678,Data Errada,RJ,1755.46,5,31/01/2025,cliente30@email.com,xxx.xxx.xxx-49
João Silva,(27) 11912345678,28/01/1980,ES,3248.33,2,18/09/2025,cliente260@email.com,xxx.xxx.xxx-42
João Silva,(11) 91234-5678,05/06/1980,ES,4098.98,11,30/09/2026,cliente637@email.com,xxx.xxx.xxx-84
Pedro  Santos,(11) 91234-5678,26/09/1980,RJ,4186.15,1000,17/01/2027,cliente746@email.com,xxx.xxx.xxx-26
Carlos José,(27) 91234-5678,28/02/1980,ES,2235.81,6,25/07/2026,cliente570@email.com,xxx.xxx.xxx-58
Pedro  Santos,(11) 91234-5678,02/10/1980,ES,3019.46,6,04/08/2025,cliente215@email.com,xxx.xxx.xxx-82
Ana Paula,(11) 91234-5678,12/06/1980,ES,4663.73,5,20/03/2025,cliente78@email.com,xxx.xxx.xxx-59
Pedro  Santos,(21) 11912345678,09/10/1980,RJ,3033.9,13,02/08/2026,cliente578@email.com,xxx.xxx.xxx-22
Maria Souza,(31) 11912345678,06/07/1980,MG,1926.67,2,19/01/2026,cliente383@email.com,xxx.xxx.xxx-13
Ana Paula,(11) 91234-5678,04/03/1980,MG,4373.91,8,09/02/2025,cliente39@email.com,xxx.xxx.xxx-49
Maria Souza,(21) 11912345678,04/05/1980,RJ,1315.33,5,24/01/2025,cliente23@email.com,xxx.xxx.xxx-44
Fernanda Lima,(11) 91234-5678,17/10/1980,ES,2839.58,6,24/11/2026,cliente692@email.com,xxx.xxx.xxx-53
João Silva,(11) 91234-5678,18/11/1980,RJ,2898.01,1000,03/02/2026,cliente398@email.com,xxx.xxx.xxx-29
Carlos José,(11) 91234-5678,03/06/1980,ES,2660.24,11,08/03/2027,cliente796@email.com,xxx.xxx.xxx-42
Ana Paula,(31) 11912345678,03/01/1980,MG,3391.13,3,12/01/2027,cliente741@email.com,xxx.xxx.xxx-93
João Silva,(27) 11912345678,29/08/1980,ES,3887.08,2,20/05/2025,cliente139@email.com,xxx.xxx.xxx-14
Ana Paula,(11) 91234-5678,25/09/1980,SP,1608.04,4,08/09/2025,cliente250@email.com,xxx.xxx.xxx-69
Pedro  Santos,(11) 91234-5678,24/07/1980,ES,895.25,9,24/06/2025,cliente174@email.com,xxx.xxx.xxx-84
Ana Paula,(27) 91234-5678,02/02/1980,ES,3973.62,11,20/11/2025,cliente323@email.com,xxx.xxx.xxx-31
João Silva,(21) 11912345678,03/12/1980,RJ,4183.99,6,19/08/2026,cliente595@email.com,xxx.xxx.xxx-16
Maria Souza,(11) 91234-5678,13/10/1980,SP,2696.37,5,10/06/2026,cliente525@email.com,xxx.xxx.xxx-55
Fernanda Lima,,15/10/1980,SP,2181.39,4,28/02/2026,cliente423@email.com,xxx.xxx.xxx-37
Fernanda Lima,(21) 11912345678,24/07/1980,RJ,3341.83,4,20/08/2026,cliente596@email.com,xxx.xxx.xxx-82
João Silva,(11) 91234-5678,26/12/1980,SP,1650.23,5,28/08/2026,cliente604@email.com,xxx.xxx.xxx-30
Ana Paula,(27) 91234-5678,15/03/1980,ES,5572.0,6,19/06/2026,cliente534@email.com,xxx.xxx.xxx-82
João Silva,(11) 11912345678,29/11/1980,SP,3046.08,3,23/09/2025,cliente265@email.com,xxx.xxx.xxx-54
Pedro  Santos,(11) 91234-5678,17/12/1980,SP,4253.13,5,20/04/2025,cliente109@email.com,xxx.xxx.xxx-22
Fernanda Lima,(11) 91234-5678,31/10/1980,SP,2772.89,3,29/10/2026,cliente666@email.com,xxx.xxx.xxx-63
João Silva,(11) 91234-5678,31/08/1980,ES,3479.51,7,22/10/2025,cliente293@email.com,xxx.xxx.xxx-61
Pedro  Santos,(11) 91234-5678,04/07/1980,ES,2875.11,9,03/12/2025,cliente336@email.com,xxx.xxx.xxx-52
João Silva,(11) 91234-5678,22/01/1981,SP,3107.17,4,04/01/2026,cliente368@email.com,xxx.xxx.xxx-64
Maria Souza,(27) 11912345678,08/11/1980,ES,2394.84,6,23/03/2026,cliente446@email.com,xxx.xxx.xxx-14
Pedro  Santos,(27) 11912345678,30/09/1980,ES,4801.43,6,30/11/2025,cliente332@email.com,xxx.xxx.xxx-22
Pedro  Santos,(31) 91234-5678,08/05/1980,MG,3499.1,3,18/07/2025,cliente198@email.com,xxx.xxx.xxx-83
Ana Paula,(11) 91234-5678,12/06/1980,MG,4598.32,2,18/06/2025,cliente168@email.com,xxx.xxx.xxx-75
Pedro  Santos,(11) 91234-5678,11/02/1980,RJ,3210.3,1000,27/04/2026,cliente481@email.com,xxx.xxx.xxx-18
Fernanda Lima,(11) 91234-5678,23/01/1980,ES,3690.07,6,25/12/2026,cliente723@email.com,xxx.xxx.xxx-26
Fernanda Lima,(11) 91234-5678,19/06/1980,MG,2348.32,2,18/10/2026,cliente655@email.com,xxx.xxx.xxx-57
Fernanda Lima,(11) 91234-5678,11/05/1980,SP,3746.61,1,03/11/2025,cliente306@email.com,xxx.xxx.xxx-33
Ana Paula,(11) 91234-5678,23/09/1980,ES,1444.63,4,20/08/2025,cliente231@email.com,xxx.xxx.xxx-90
Maria Souza,(31) 11912345678,07/08/1980,MG,4191.09,5,27/02/2026,cliente422@email.com,xxx.xxx.xxx-23
Ana Paula,(11) 91234-5678,16/03/1980,MG,1780.72,4,19/02/2025,cliente49@email.com,xxx.xxx.xxx-36
Maria Souza,(11) 91234-5678,30/07/1980,SP,3366.81,8,27/02/2027,cliente787@email.com,xxx.xxx.xxx-50
Fernanda Lima,(31) 11912345678,21/10/1980,MG,3925.67,7,24/12/2025,cliente357@email.com,xxx.xxx.xxx-69
João Silva,(11) 91234-5678,24/11/1980,RJ,1709.44,5,28/03/2025,cliente86@email.com,xxx.xxx.xxx-30
Maria Souza,(11) 91234-5678,31/10/1980,SP,1487.47,4,30/06/2026,cliente545@email.com,xxx.xxx.xxx-41
Fernanda Lima,(11) 11912345678,07/09/1980,SP,3715.73,3,12/07/2025,cliente192@email.com,xxx.xxx.xxx-87
Carlos José,(11) 91234-5678,23/07/1980,SP,1992.09,2,07/03/2027,cliente795@email.com,xxx.xxx.xxx-44
Ana Paula,(11) 91234-5678,20/12/1980,SP,1985.52,6,03/02/2025,cliente33@email.com,xxx.xxx.xxx-27
Maria Souza,(11) 91234-5678,09/01/1981,RJ,3232.87,6,01/02/2025,cliente31@email.com,xxx.xxx.xxx-68
Fernanda Lima,(11) 91234-5678,05/04/1980,MG,1307.73,12,19/07/2025,cliente199@email.com,xxx.xxx.xxx-72
Carlos José,(21) 91234-5678,14/12/1980,RJ,2494.03,6,01/01/2026,cliente365@email.com,xxx.xxx.xxx-85
Fernanda Lima,(11) 91234-5678,01/05/1980,MG,3475.59,4,02/05/2026,cliente486@email.com,xxx.xxx.xxx-95
Ana Paula,(11) 91234-5678,14/01/1981,ES,2942.96,6,18/08/2026,cliente594@email.com,xxx.xxx.xxx-60
João Silva,(11) 11912345678,23/11/1980,SP,2473.47,11,23/07/2026,cliente568@email.com,xxx.xxx.xxx-26
Fernanda Lima,(11) 91234-5678,08/04/1980,SP,4290.76,3,05/03/2026,cliente428@email.com,xxx.xxx.xxx-28
Fernanda Lima,(11) 91234-5678,02/09/1980,ES,779.58,4,18/05/2025,cliente137@email.com,xxx.xxx.xxx-23
Maria Souza,(11) 91234-5678,01/10/1980,SP,472978.0,5,14/03/2025,cliente72@email.com,xxx.xxx.xxx-10
Maria Souza,(11) 91234-5678,21/11/1980,SP,4292.75,8,19/03/2025,cliente77@email.com,xxx.xxx.xxx-17
Maria Souza,(11) 91234-5678,08/04/1980,SP,2460.41,1000,28/05/2026,cliente512@email.com,xxx.xxx.xxx-71
Pedro  Santos,(11) 91234-5678,01/07/1980,ES,2902.47,3,23/02/2027,cliente783@email.com,xxx.xxx.xxx-97
João Silva,(11) 91234-5678,30/09/1980,RJ,168307.0,3,26/02/2027,cliente785@email.com,xxx.xxx.xxx-32
Ana Paula,(11) 91234-5678,15/11/1980,SP,2410.55,5,03/10/2025,cliente275@email.com,xxx.xxx.xxx-16
Carlos José,(11) 91234-5678,22/09/1980,MG,3770.75,1000,28/12/2025,cliente361@email.com,xxx.xxx.xxx-33
Ana Paula,(11) 91234-5678,19/11/1980,SP,3982.68,4,07/04/2025,cliente96@email.com,xxx.xxx.xxx-31
João Silva,(11) 11912345678,17/01/1981,SP,3036.78,11,04/10/2026,cliente641@email.com,xxx.xxx.xxx-59
Ana Paula,(11) 91234-5678,19/05/1980,RJ,4048.86,5,17/12/2026,cliente715@email.com,xxx.xxx.xxx-86
Carlos José,(27) 11912345678,25/01/1981,ES,2930.37,6,09/10/2025,cliente281@email.com,xxx.xxx.xxx-16
Carlos José,,25/02/1980,ES,5068.23,3,29/01/2026,cliente393@email.com,xxx.xxx.xxx-82
Fernanda Lima,(27) 11912345678,20/11/1980,ES,4515.44,5,21/09/2026,cliente628@email.com,xxx.xxx.xxx-34
Ana Paula,(31) 11912345678,25/09/1980,MG,2558.15,5,01/09/2026,cliente608@email.com,xxx.xxx.xxx-80
Carlos José,(11) 91234-5678,29/09/1980,MG,3468.98,6,07/12/2026,cliente705@email.com,xxx.xxx.xxx-35
Ana Paula,(11) 11912345678,18/06/1980,SP,3409.44,3,25/01/2027,cliente754@email.com,xxx.xxx.xxx-17
Maria Souza,(27) 11912345678,12/03/1980,ES,1311.49,3,24/02/2025,cliente54@email.com,xxx.xxx.xxx-46
João Silva,(11) 91234-5678,15/08/1980,RJ,2246.14,500,21/01/2027,cliente750@email.com,xxx.xxx.xxx-69
Carlos José,(11) 91234-5678,15/01/1980,RJ,464902.0,0,05/06/2025,cliente155@email.com,xxx.xxx.xxx-32
João Silva,(11) 91234-5678,08/12/1980,SP,2590.2,9,09/03/2026,cliente432@email.com,xxx.xxx.xxx-91
Carlos José,(11) 91234-5678,26/10/1980,RJ,1599.93,3,08/04/2025,cliente97@email.com,xxx.xxx.xxx-55
Maria Souza,(27) 11912345678,20/01/1981,ES,2876.66,9,01/05/2025,cliente120@email.com,xxx.xxx.xxx-29
Maria Souza,(31) 11912345678,11/10/1980,MG,4351.11,5,18/03/2025,cliente76@email.com,xxx.xxx.xxx-55
João Silva,(11) 91234-5678,11/07/1980,SP,925.51,1,24/07/2025,cliente204@email.com,xxx.xxx.xxx-95
Ana Paula,(27) 11912345678,21/09/1980,ES,1153.43,5,19/12/2025,cliente352@email.com,xxx.xxx.xxx-65
João Silva,(31) 11912345678,27/09/1980,MG,1729.05,2,04/02/2027,cliente764@email.com,xxx.xxx.xxx-66
Fernanda Lima,(11) 91234-5678,Data Errada,SP,3729.06,5,28/07/2025,cliente208@email.com,xxx.xxx.xxx-77
Ana Paula,(27) 11912345678,01/05/1980,ES,3062.33,3,03/01/2026,cliente367@email.com,xxx.xxx.xxx-57
Ana Paula,(11) 91234-5678,28/06/1980,RJ,2452.09,4,02/03/2026,cliente425@email.com,xxx.xxx.xxx-81
João Silva,(11) 91234-5678,24/09/1980,SP,2095.05,4,31/05/2026,cliente515@email.com,xxx.xxx.xxx-18
Fernanda Lima,(11) 91234-5678,08/08/1980,SP,2551.46,5,26/03/2025,cliente84@email.com,xxx.xxx.xxx-11
Ana Paula,(31) 11912345678,23/01/1981,MG,3531.03,2,11/01/2025,cliente10@email.com,xxx.xxx.xxx-74
Fernanda Lima,(11) 11912345678,29/07/1980,SP,2375.49,6,22/12/2026,cliente720@email.com,xxx.xxx.xxx-98
Pedro  Santos,(11) 91234-5678,01/09/1980,RJ,289374.0,2,21/04/2025,cliente110@email.com,xxx.xxx.xxx-28
Ana Paula,(27) 11912345678,06/12/1980,ES,2072.45,7,06/06/2026,cliente521@email.com,xxx.xxx.xxx-28
Pedro  Santos,,19/11/1980,ES,2846.09,7,17/02/2027,cliente777@email.com,xxx.xxx.xxx-18
Maria Souza,(31) 91234-5678,08/01/1980,MG,316704.0,5,29/07/2025,cliente209@email.com,xxx.xxx.xxx-69
Fernanda Lima,(27) 11912345678,01/10/1980,ES,4037.16,6,24/08/2025,cliente235@email.com,xxx.xxx.xxx-64
João Silva,(11) 91234-5678,30/03/1980,RJ,2815.85,6,13/11/2025,cliente316@email.com,xxx.xxx.xxx-71
João Silva,(27) 11912345678,08/07/1980,ES,4807.61,5,24/01/2026,cliente388@email.com,xxx.xxx.xxx-94
João Silva,(21) 11912345678,16/02/1980,RJ,2681.25,3,29/04/2025,cliente118@email.com,xxx.xxx.xxx-94
João Silva,(11) 91234-5678,27/02/1980,SP,2973.74,2,21/12/2026,cliente719@email.com,xxx.xxx.xxx-71
Pedro  Santos,(11) 91234-5678,21/04/1980,MG,344662.0,5,30/07/2025,cliente210@email.com,xxx.xxx.xxx-27
Maria Souza,(11) 11912345678,16/09/1980,SP,3889.15,10,12/09/2025,cliente254@email.com,xxx.xxx.xxx-15
João Silva,(11) 91234-5678,02/01/1981,RJ,2654.85,5,15/08/2026,cliente591@email.com,xxx.xxx.xxx-84
Pedro  Santos,(11) 91234-5678,24/07/1980,SP,4360.12,500,30/01/2025,cliente29@email.com,xxx.xxx.xxx-85
João Silva,(11) 91234-5678,12/10/1980,RJ,1926.31,6,24/09/2025,cliente266@email.com,xxx.xxx.xxx-22
Pedro  Santos,(11) 91234-5678,07/07/1980,SP,805.62,7,19/10/2026,cliente656@email.com,xxx.xxx.xxx-56
João Silva,(11) 91234-5678,11/03/1980,ES,2516.38,2,25/10/2026,cliente662@email.com,xxx.xxx.xxx-96
Fernanda Lima,(11) 91234-5678,01/02/1980,RJ,2307.65,7,24/10/2025,cliente296@email.com,xxx.xxx.xxx-50
Fernanda Lima,(11) 11912345678,14/02/1980,SP,152626.0,7,23/03/2025,cliente81@email.com,xxx.xxx.xxx-87
João Silva,(11) 91234-5678,25/07/1980,MG,4292.06,3,20/11/2026,cliente688@email.com,xxx.xxx.xxx-81
Pedro  Santos,(31) 11912345678,16/09/1980,MG,3907.96,6,30/10/2025,cliente302@email.com,xxx.xxx.xxx-92
Fernanda Lima,(27) 11912345678,18/04/1980,ES,1001.11,2,22/05/2026,cliente506@email.com,xxx.xxx.xxx-21
Pedro  Santos,(27) 11912345678,10/10/1980,ES,2811.8,5,29/01/2027,cliente758@email.com,xxx.xxx.xxx-36
João Silva,(11) 91234-5678,17/01/1981,MG,3137.35,6,11/11/2025,cliente314@email.com,xxx.xxx.xxx-45
Fernanda Lima,(11) 91234-5678,19/06/1980,ES,3134.17,7,07/10/2026,cliente644@email.com,xxx.xxx.xxx-28
Ana Paula,(11) 91234-5678,23/04/1980,RJ,2461.43,3,14/02/2026,cliente409@email.com,xxx.xxx.xxx-95
João Silva,(11) 91234-5678,09/06/1980,RJ,2728.69,9,31/07/2025,cliente211@email.com,xxx.xxx.xxx-78
Pedro  Santos,(11) 91234-5678,13/07/1980,RJ,3431.63,5,17/06/2026,cliente532@email.com,xxx.xxx.xxx-83
Fernanda Lima,(31) 11912345678,03/02/1980,MG,2990.82,5,29/04/2026,cliente483@email.com,xxx.xxx.xxx-62
Maria Souza,(11) 11912345678,21/06/1980,SP,2694.81,4,07/08/2025,cliente218@email.com,xxx.xxx.xxx-76
Pedro  Santos,(11) 11912345678,18/05/1980,SP,3479.36,5,08/01/2025,cliente7@email.com,xxx.xxx.xxx-74
Maria Souza,,26/11/1980,SP,2870.97,6,10/04/2026,cliente464@email.com,xxx.xxx.xxx-24
João Silva,(11) 91234-5678,08/03/1980,RJ,2271.83,7,12/04/2025,cliente101@email.com,xxx.xxx.xxx-50
Fernanda Lima,(11) 91234-5678,27/01/1981,SP,2233.88,7,23/11/2025,cliente326@email.com,xxx.xxx.xxx-48
Carlos José,(11) 91234-5678,13/01/1980,RJ,3430.86,5,15/10/2026,cliente652@email.com,xxx.xxx.xxx-26
João Silva,(11) 91234-5678,16/01/1981,SP,385881.0,8,22/06/2026,cliente537@email.com,xxx.xxx.xxx-25
Ana Paula,(11) 91234-5678,22/11/1980,RJ,3082.77,1,03/10/2026,cliente640@email.com,xxx.xxx.xxx-47
Pedro  Santos,(31) 11912345678,05/04/1980,MG,4166.37,7,03/01/2025,cliente2@email.com,xxx.xxx.xxx-22
Maria Souza,(11) 91234-5678,03/02/1980,SP,4900.27,2,09/01/2027,cliente738@email.com,xxx.xxx.xxx-76
João Silva,(11) 91234-5678,13/11/1980,RJ,3390.37,7,16/02/2027,cliente776@email.com,xxx.xxx.xxx-68
Maria Souza,(21) 11912345678,07/11/1980,RJ,3114.1,4,04/06/2026,cliente519@email.com,xxx.xxx.xxx-28
João Silva,(11) 91234-5678,06/01/1981,SP,473595.0,2,13/08/2026,cliente589@email.com,xxx.xxx.xxx-28
Pedro  Santos,(11) 91234-5678,11/12/1980,SP,3786.41,5,10/03/2027,cliente798@email.com,xxx.xxx.xxx-15
João Silva,(11) 91234-5678,25/01/1981,SP,2355.66,3,15/01/2027,cliente744@email.com,xxx.xxx.xxx-96
Pedro  Santos,(11) 91234-5678,24/10/1980,ES,3894.91,5,29/05/2026,cliente513@email.com,xxx.xxx.xxx-48
Ana Paula,(11) 91234-5678,27/11/1980,SP,3637.61,6,02/11/2026,cliente670@email.com,xxx.xxx.xxx-56
Ana Paula,(11) 91234-5678,18/12/1980,SP,1970.03,4,22/09/2025,cliente264@email.com,xxx.xxx.xxx-30
Pedro  Santos,(11) 91234-5678,26/01/1981,ES,2722.49,5,08/09/2026,cliente615@email.com,xxx.xxx.xxx-84
Fernanda Lima,(11) 91234-5678,22/08/1980,SP,118428.0,6,26/11/2025,cliente329@email.com,xxx.xxx.xxx-16
João Silva,(11) 91234-5678,22/01/1980,MG,4040.43,5,09/12/2025,cliente342@email.com,xxx.xxx.xxx-12
Maria Souza,(27) 11912345678,08/06/1980,ES,1602.19,8,30/01/2026,cliente394@email.com,xxx.xxx.xxx-93
Maria Souza,(21) 91234-5678,11/08/1980,RJ,3305.24,4,21/03/2025,cliente79@email.com,xxx.xxx.xxx-73
Ana Paula,(21) 11912345678,13/08/1980,RJ,206884.0,5,29/05/2025,cliente148@email.com,xxx.xxx.xxx-44
João Silva,(11) 91234-5678,11/08/1980,ES,3556.02,8,17/12/2025,cliente350@email.com,xxx.xxx.xxx-62
Fernanda Lima,(11) 91234-5678,01/11/1980,SP,5935.66,3,18/01/2026,cliente382@email.com,xxx.xxx.xxx-14
Carlos José,(11) 91234-5678,04/03/1980,MG,4026.89,7,17/03/2026,cliente440@email.com,xxx.xxx.xxx-25
Fernanda Lima,(11) 91234-5678,17/04/1980,SP,2147.78,6,06/11/2025,cliente309@email.com,xxx.xxx.xxx-16
Fernanda Lima,(31) 11912345678,25/01/1981,MG,276957.0,7,09/12/2026,cliente707@email.com,xxx.xxx.xxx-63
Pedro  Santos,(11) 91234-5678,22/10/1980,RJ,1626.17,4,14/05/2025,cliente133@email.com,xxx.xxx.xxx-37
Maria Souza,(11) 91234-5678,18/07/1980,MG,300774.0,5,17/01/2026,cliente381@email.com,xxx.xxx.xxx-46
João Silva,(11) 91234-5678,15/07/1980,SP,1878.47,3,02/08/2025,cliente213@email.com,xxx.xxx.xxx-57
Fernanda Lima,(11) 91234-5678,12/10/1980,SP,3533.21,3,22/10/2026,cliente659@email.com,xxx.xxx.xxx-22
Carlos José,(21) 11912345678,09/07/1980,RJ,1879.95,9,25/02/2025,cliente55@email.com,xxx.xxx.xxx-77
Ana Paula,(11) 11912345678,19/03/1980,SP,1651.82,4,07/01/2027,cliente736@email.com,xxx.xxx.xxx-36
Carlos José,(21) 91234-5678,01/09/1980,RJ,4090.18,7,13/09/2026,cliente620@email.com,xxx.xxx.xxx-69
Fernanda Lima,(11) 91234-5678,26/11/1980,SP,2822.4,2,06/08/2026,cliente582@email.com,xxx.xxx.xxx-26
Maria Souza,(11) 91234-5678,23/11/1980,RJ,1481.03,6,05/11/2026,cliente673@email.com,xxx.xxx.xxx-19
Ana Paula,(11) 91234-5678,27/07/1980,SP,4588.94,5,12/06/2026,cliente527@email.com,xxx.xxx.xxx-91
Maria Souza,,20/11/1980,RJ,4623.88,4,16/07/2025,cliente196@email.com,xxx.xxx.xxx-58
Pedro  Santos,(11) 91234-5678,02/01/1980,SP,1549.07,4,15/12/2026,cliente713@email.com,xxx.xxx.xxx-15
Pedro  Santos,(11) 91234-5678,04/10/1980,RJ,2250.83,2,21/11/2026,cliente689@email.com,xxx.xxx.xxx-13
Ana Paula,(11) 11912345678,09/09/1980,SP,1972.6,6,02/03/2025,cliente60@email.com,xxx.xxx.xxx-61
Pedro  Santos,(11) 91234-5678,02/09/1980,ES,2429.69,6,31/07/2026,cliente576@email.com,xxx.xxx.xxx-10
Pedro  Santos,(11) 91234-5678,19/07/1980,SP,2499.8,5,24/09/2026,cliente631@email.com,xxx.xxx.xxx-63
Carlos José,(11) 91234-5678,28/11/1980,SP,3698.92,6,08/03/2026,cliente431@email.com,xxx.xxx.xxx-81
Carlos José,(11) 91234-5678,16/02/1980,RJ,152432.0,4,27/08/2026,cliente603@email.com,xxx.xxx.xxx-19
Fernanda Lima,(11) 91234-5678,17/12/1980,SP,4618.79,2,19/03/2026,cliente442@email.com,xxx.xxx.xxx-13
Ana Paula,,01/08/1980,RJ,2224.13,2,13/03/2026,cliente436@email.com,xxx.xxx.xxx-42
Carlos José,(11) 91234-5678,20/02/1980,SP,2286.42,4,05/09/2025,cliente247@email.com,xxx.xxx.xxx-61
Carlos José,(11) 91234-5678,05/07/1980,SP,2228.8,8,10/08/2026,cliente586@email.com,xxx.xxx.xxx-20
Carlos José,(11) 91234-5678,02/10/1980,RJ,2476.42,7,24/07/2026,cliente569@email.com,xxx.xxx.xxx-77
Maria Souza,(21) 11912345678,27/05/1980,RJ,4534.48,5,01/04/2025,cliente90@email.com,xxx.xxx.xxx-97
Maria Souza,(11) 91234-5678,27/03/1980,MG,2621.24,4,13/10/2026,cliente650@email.com,xxx.xxx.xxx-94
João Silva,(11) 91234-5678,13/02/1980,SP,1400.61,4,01/07/2025,cliente181@email.com,xxx.xxx.xxx-12
João Silva,(11) 91234-5678,14/01/1980,SP,3151.4,2,02/03/2027,cliente790@email.com,xxx.xxx.xxx-85
Maria Souza,(11) 91234-5678,05/02/1980,SP,3239.63,4,09/07/2026,cliente554@email.com,xxx.xxx.xxx-20
Fernanda Lima,(11) 91234-5678,26/06/1980,ES,3392.63,5,18/10/2025,cliente290@email.com,xxx.xxx.xxx-64
Fernanda Lima,,28/01/1981,ES,2576.24,4,08/06/2025,cliente158@email.com,xxx.xxx.xxx-17
Fernanda Lima,(11) 91234-5678,19/10/1980,RJ,4325.28,4,11/03/2025,cliente69@email.com,xxx.xxx.xxx-65
Carlos José,(11) 91234-5678,03/11/1980,SP,2725.15,3,02/06/2026,cliente517@email.com,xxx.xxx.xxx-60
Carlos José,(11) 91234-5678,05/04/1980,SP,914.1,4,12/05/2025,cliente131@email.com,xxx.xxx.xxx-98
Carlos José,(11) 91234-5678,30/08/1980,MG,2228.23,6,14/02/2025,cliente44@email.com,xxx.xxx.xxx-67
Fernanda Lima,(11) 11912345678,13/07/1980,SP,3827.12,5,12/03/2025,cliente70@email.com,xxx.xxx.xxx-89
Ana Paula,(11) 11912345678,26/02/1980,SP,3210.5,4,23/11/2026,cliente691@email.com,xxx.xxx.xxx-86
Fernanda Lima,,11/02/1980,RJ,458034.0,8,22/12/2025,cliente355@email.com,xxx.xxx.xxx-46
Ana Paula,(11) 91234-5678,25/05/1980,ES,1783.1,6,21/03/2026,cliente444@email.com,xxx.xxx.xxx-78
Maria Souza,(21) 11912345678,09/05/1980,RJ,3970.32,4,01/02/2027,cliente761@email.com,xxx.xxx.xxx-32
Carlos José,,08/01/1981,SP,3115.82,5,16/05/2025,cliente135@email.com,xxx.xxx.xxx-65
Ana Paula,(11) 91234-5678,03/02/1980,SP,3447.39,4,24/03/2025,cliente82@email.com,xxx.xxx.xxx-93
Carlos José,(11) 91234-5678,06/05/1980,MG,3487.77,4,15/06/2025,cliente165@email.com,xxx.xxx.xxx-77
João Silva,(11) 91234-5678,22/01/1980,MG,4048.48,5,14/06/2025,cliente164@email.com,xxx.xxx.xxx-85
João Silva,(31) 11912345678,25/01/1980,MG,6076.86,3,29/01/2025,cliente28@email.com,xxx.xxx.xxx-38
Maria Souza,(11) 11912345678,28/03/1980,SP,4573.73,4,25/03/2026,cliente448@email.com,xxx.xxx.xxx-15
Carlos José,,12/05/1980,MG,5394.36,3,13/07/2025,cliente193@email.com,xxx.xxx.xxx-36
